Date,Open,High,Low,Close,Adj Close,Volume
"Aug 18, 2025",576.44,577.77,575.24,577.11,577.11,29831000
"Aug 15, 2025",579.80,579.84,575.57,577.34,577.34,49480200
"Aug 14, 2025",578.28,581.88,577.91,579.89,579.89,45425000
"Aug 13, 2025",582.76,583.32,578.94,580.34,580.34,41209300
"Aug 12, 2025",575.15,580.35,572.48,580.05,580.05,40240561
"Aug 11, 2025",574.69,576.80,571.57,572.85,572.85,33112900
"Aug 8, 2025",570.45,574.77,570.15,574.55,574.55,35255500
"Aug 7, 2025",571.67,573.32,565.11,569.24,569.24,44463000
"Aug 6, 2025",561.11,567.76,560.63,567.32,567.32,41823700
"Aug 5, 2025",565.29,566.56,559.73,560.27,560.27,48118274
"Aug 4, 2025",559.05,564.32,558.95,564.10,564.10,47669800
"Aug 1, 2025",558.83,559.02,551.68,553.88,553.88,69400800
"Jul 31, 2025",574.54,574.63,563.87,565.01,565.01,64613600
"Jul 30, 2025",568.18,570.62,565.05,568.02,568.02,43433800
"Jul 29, 2025",570.79,572.11,566.53,567.26,567.26,42745011
"Jul 28, 2025",567.74,569.04,566.87,568.14,568.14,31498700
"Jul 25, 2025",564.93,567.70,564.27,566.37,566.37,30630800
"Jul 24, 2025",565.13,566.24,563.29,565.01,565.01,42275500
"Jul 23, 2025",562.34,563.85,559.58,563.81,563.81,40215300
"Jul 22, 2025",564.34,564.34,558.61,561.25,561.25,42138392
"Jul 21, 2025",562.09,566.06,562.06,564.17,564.17,39595200
"Jul 18, 2025",563.12,564.73,559.98,561.26,561.26,50484700
"Jul 17, 2025",558.02,562.31,557.21,561.80,561.80,40423800
"Jul 16, 2025",557.28,560.21,551.56,557.29,557.29,52314700
"Jul 15, 2025",560.25,560.80,556.66,556.72,556.72,42863825
"Jul 14, 2025",553.99,556.95,551.63,556.21,556.21,36453300
"Jul 11, 2025",553.30,555.79,552.05,554.20,554.20,39618600
"Jul 10, 2025",556.89,557.30,552.75,555.45,555.45,34710900
"Jul 9, 2025",554.48,557.63,553.10,556.25,556.25,43045500
"Jul 8, 2025",553.38,554.01,551.10,552.34,552.34,36153300
"Jul 7, 2025",553.52,554.34,549.58,552.03,552.03,45349300
"Jul 3, 2025",553.18,557.20,553.18,556.22,556.22,26443500
"Jul 2, 2025",546.16,551.00,546.12,550.80,550.80,36538300
"Jul 1, 2025",549.73,550.71,544.66,546.99,546.99,56166700
"Jun 30, 2025",551.26,552.80,549.01,551.64,551.64,45548700
"Jun 27, 2025",547.26,549.99,544.54,548.09,548.09,57577100
"Jun 26, 2025",543.35,546.67,541.52,546.22,546.22,43811400
"Jun 25, 2025",542.06,543.31,539.38,541.16,541.16,44804200
"Jun 24, 2025",536.94,540.70,536.27,539.78,539.78,45080394
"Jun 23, 2025",526.81,532.17,523.65,531.65,531.65,50666100
"Jun 20, 2025",532.26,533.56,524.88,526.83,526.24,61643500
"Jun 18, 2025",530.10,532.55,527.40,528.99,528.40,43983500
"Jun 17, 2025",531.71,533.33,527.92,529.08,529.08,41510986
"Jun 16, 2025",530.50,535.37,530.45,534.29,534.29,37622100
"Jun 13, 2025",527.68,531.87,525.73,526.96,526.96,55814400
"Jun 12, 2025",531.09,534.64,530.84,533.66,533.66,34104900
"Jun 11, 2025",535.62,536.78,530.11,532.41,532.41,53701000
"Jun 10, 2025",531.31,534.90,528.89,534.21,534.21,40163653
"Jun 9, 2025",530.14,532.35,529.01,530.70,530.70,33688700
"Jun 6, 2025",530.00,531.80,528.21,529.92,529.92,42467000
"Jun 5, 2025",530.18,533.05,522.66,524.79,524.79,61031200
"Jun 4, 2025",528.01,529.84,525.97,528.77,528.77,41359300
"Jun 3, 2025",523.6,528.73,522.73,527.3,527.3,43293417
"Jun 2, 2025",517.24,523.45,515.97,523.21,523.21,44762800
"May 30, 2025",519.44,520.68,511.93,519.11,519.11,67662800
"May 29, 2025",526.33,526.48,517.32,519.93,519.93,58513300
"May 28, 2025",522.18,523.68,518.39,518.91,518.91,46637200
"May 27, 2025",516.16,521.70,514.59,521.22,521.22,46488875
"May 23, 2025",506.18,511.84,505.58,509.24,509.24,58330100
"May 22, 2025",513.66,517.71,512.30,514.00,514.00,55607200
"May 21, 2025",516.27,523.00,511.24,513.04,513.04,71292800
"May 20, 2025",519.47,520.92,516.66,520.27,520.27,41563632
"May 19, 2025",514.24,522.53,514.24,522.01,522.01,52536200
"May 16, 2025",520.66,521.70,517.10,521.51,521.51,48394600
"May 15, 2025",516.52,521.93,515.17,519.25,519.25,50153300
"May 14, 2025",516.77,519.23,515.75,518.68,518.68,47014500
"May 13, 2025",509.16,517.39,508.42,515.59,515.59,52438371
"May 12, 2025",506.99,507.89,501.48,507.85,507.85,45090600
"May 9, 2025",490.21,491.54,486.20,487.97,487.97,27767400
"May 8, 2025",488.53,492.70,484.17,488.29,488.29,39577600
"May 7, 2025",482.08,485.80,476.78,483.30,483.30,38006300
"May 6, 2025",479.56,485.05,478.20,481.41,481.41,30591469
"May 5, 2025",484.60,489.03,484.10,485.93,485.93,28309500
"May 2, 2025",486.54,490.91,484.83,488.83,488.83,39218100
"May 1, 2025",483.41,487.18,480.74,481.68,481.68,43316500
"Apr 30, 2025",467.13,477.20,462.43,475.47,475.47,46810600
"Apr 29, 2025",470.17,476.42,469.59,475.53,475.53,30613100
"Apr 28, 2025",473.03,474.81,466.03,472.41,472.41,33550800
"Apr 25, 2025",466.97,473.09,465.39,472.56,472.56,38697100
"Apr 24, 2025",456.48,467.66,455.83,467.35,467.35,45956100
"Apr 23, 2025",458.17,463.38,452.88,454.56,454.56,55801100
"Apr 22, 2025",438.82,447.58,437.62,444.48,444.48,52304400
"Apr 21, 2025",438.23,439.08,427.93,433.11,433.11,44149300
"Apr 17, 2025",447.17,447.75,441.36,444.10,444.10,44763900
"Apr 16, 2025",449.03,452.62,437.76,444.18,444.18,48980600
"Apr 15, 2025",458.54,462.38,456.15,457.99,457.99,35404200
"Apr 14, 2025",464.46,465.05,452.63,457.48,457.48,43941200
"Apr 11, 2025",444.65,455.79,441.33,454.40,454.40,52483800
"Apr 10, 2025",453.56,455.59,432.63,446.18,446.18,108384100
"Apr 9, 2025",415.57,467.83,415.43,466.00,466.00,142876900
"Apr 8, 2025",438.16,443.14,409.79,416.06,416.06,101248100
"Apr 7, 2025",408.66,443.14,402.39,423.69,423.69,161557000
"Apr 4, 2025",438.14,440.37,422.67,422.67,422.67,117088400
"Apr 3, 2025",450.44,450.07,450.14,450.66,450.06,70568300
"Apr 2, 2025",468.12,479.56,468.68,476.15,476.15,49894500
"Apr 1, 2025",467.30,473.63,464.42,472.70,472.70,41156200
"Mar 31, 2025",461.92,466.86,457.33,468.92,468.92,53000300
"Mar 28, 2025",479.81,480.52,468.05,468.94,468.94,46363800
"Mar 27, 2025",482.41,486.58,480.25,481.62,481.62,33469800
"Mar 26, 2025",492.30,493.16,482.82,484.38,484.38,34627100
"Mar 25, 2025",491.39,493.62,490.42,493.46,493.46,26035200
"Mar 24, 2025",487.74,491.51,484.40,490.66,490.66,34567200
"Mar 21, 2025",474.08,486.61,472.91,480.64,480.12,42234900
"Mar 20, 2025",476.88,484.55,476.18,479.26,478.55,36730500
"Mar 19, 2025",476.81,485.33,474.87,480.89,480.17,40430300
"Mar 18, 2025",479.41,479.61,472.41,474.54,473.83,39072300
"Mar 17, 2025",479.61,486.84,477.60,482.77,482.05,41744400
"Mar 14, 2025",473.73,480.56,473.12,479.66,478.95,43568000
"Mar 13, 2025",476.25,476.28,466.43,468.34,467.64,46563300
"Mar 12, 2025",479.16,481.06,471.79,476.92,476.21,46971100
"Mar 11, 2025",472.35,478.81,467.01,471.60,470.90,68760800
"Mar 10, 2025",483.45,483.97,468.66,472.73,472.03,76668000
"Mar 7, 2025",487.16,493.28,480.53,491.79,491.06,54714700
"Mar 6, 2025",493.69,498.58,486.20,488.20,487.47,57574300
"Mar 5, 2025",496.20,503.63,491.26,502.01,501.26,46323700
"Mar 4, 2025",494.18,503.74,487.74,495.55,494.81,67375400
"Mar 3, 2025",511.52,513.04,493.58,497.05,496.31,44567200
"Feb 28, 2025",500.13,508.78,496.93,508.17,507.41,47654000
"Feb 27, 2025",518.13,519.07,500.05,500.27,499.53,52448000
"Feb 26, 2025",515.53,519.66,511.37,514.56,513.79,34467600
"Feb 25, 2025",519.24,519.32,509.44,513.32,512.56,48940000
"Feb 24, 2025",527.88,529.07,519.53,519.87,519.10,39268400
"Feb 21, 2025",583.38,583.40,525.71,526.08,525.30,47093800
"Feb 20, 2025",538.73,539.10,532.46,537.23,536.43,26550800
"Feb 19, 2025",538.57,540.81,536.46,539.52,538.72,19666900
"Feb 18, 2025",539.73,540.00,538.04,539.37,538.57,20565000
"Feb 14, 2025",538.01,538.84,536.67,538.15,537.35,17862600
"Feb 13, 2025",529.98,536.22,529.19,535.90,535.10,28714800
"Feb 12, 2025",522.30,529.19,521.95,528.30,527.51,25009400
"Feb 11, 2025",525.96,529.92,525.83,527.99,527.20,19325500
"Feb 10, 2025",527.22,530.36,526.75,529.25,528.46,20852800
"Feb 7, 2025",530.14,532.10,522.19,522.92,522.14,29605500
"Feb 6, 2025",527.36,529.81,525.74,529.60,528.81,19434500
"Feb 5, 2025",521.82,527.01,520.62,526.85,526.07,21134100
"Feb 4, 2025",518.63,525.11,518.23,524.47,523.69,26046800
"Feb 3, 2025",513.47,520.85,511.05,518.11,517.34,40580800
"Jan 31, 2025",526.92,531.52,521.19,522.29,521.51,38845500
"Jan 30, 2025",523.71,526.10,518.21,523.05,522.27,27431300
"Jan 29, 2025",522.46,522.59,516.90,520.83,520.05,26649000
"Jan 28, 2025",515.22,523.00,511.78,521.81,521.03,33194200
"Jan 27, 2025",511.00,517.99,510.15,514.21,513.44,60771700
"Jan 24, 2025",533.02,533.79,528.15,529.63,528.84,19878300
"Jan 23, 2025",529.04,532.76,528.45,532.64,531.85,23096600
"Jan 22, 2025",529.57,533.82,529.26,531.51,530.72,33593000
"Jan 21, 2025",524.48,525.97,520.06,524.80,524.02,23628000
